name,In Nepali,meaning
Tasneem ,तस्नीम,Fountain of Paradise
Tavesa ,तवेसा,"Brilliant, Glittering"
Tejashwi ,तेजश्वी,"Intelligent, Bright"
Tejaswi Lustrous,Lustrous को Meaning google गर्नुहोला !,
Tejaswini Lustrous,Lustrous को Meaning google गर्नुहोला !,
Tenisha ,तेनिषा,no meaning yet
"Tshering In Tibetan, ",tshe," meaning ""life"" and (ring"
Tulasha ,तुलाषा ,no meaning yet
Machindra ,मछिन्द्र,A saint and yogi in a number of Buddhist and Hindu traditions. He is traditionally considered the founder of hatha yoga as well as the author of some of its earliest texts
Mahander ,महांदर,no meaning yet
Mahima ,महिमा,Greatness
Mandira Cymbals; home,Cymbals को Meaning google गर्नुहोला !,
Manikala ,मनिकला,Gift of God ; Precious Diamond
Manisha ,मनिषा,Goddess of mind; Desire; Intellect(इच्छा
Manita ,मनिता,"Pride(सम्मान, गौरव"
Manjusri Saraswati,सरस्वति देवीको अर्को नाम,
"Manorama Attractive, beautiful",आती नै सुन्दरी,
Manu ,मानु,no meaning yet
Manuta ,मनुता,no meaning yet
Manyata ,मान्यता,no meaning yet
Meenakshi ,मिनाक्षी,A woman with beautiful eyes
Megha ,मेघा,
Melina ,मेलिना ,Please advise us the meaning of this name!
Memimsha ,मेमिम्षा,no meaning yet
Menisha ,मनीषा ,"Goddess of desire; Thought, WisdomAlso: Manisha"
Menuka ,मेनुका,Charming; Expressive personality; Affectionate and caring.
Mila ,मिला,no meaning yet
Mina Please advise us the meaning of this name.,कृपयायो नामको अर्थ हलिदिनुहोला !,
"Minakshi Fish eyed, daughter of Kubera",Kubra भन्नेको होला थाहा भएन,
Mohana ,मोहन,"Bewitching, Infatuating, Charming"
Mohini Enchantress,Enchantress को Meaning google गर्नुहोला !,
Muna ,मुना,Bud
Aaarti; Arati ,आरती,Worship(उपासना
Aabhya ,आभ्य. आभय,Fearless
Aadarshini ,आदर्शिनी,Respectful; One who always respect other(कृपयायो नामको अर्थ हलिदिनुहोला ! 
Aagya ,आग्या,"Order, Discipline"
Aahana ,आहाना,"First ray of the sun; Inner light, Immortal"
Aaista ,आइस्ता,Adorable
Aakarti ,आकर्ती ,
Aakriti ,आकृति,"Aakriti means ""shape"", ""your image"", ""beautiful form,"" and ""innocence."" The correct meaning is ""An image which outshines every other outline of every creation on this earth whether living or non living"
Aanchal ,आंचल,Protective shelter
Aarogya ,आरोग्य,"The one free from diseases; Healthful, Healthy"
Aarohi ,आरोही,Tone of Music; Also climber in Nepali(कृपयायो नामको अर्थ हलिदिनुहोला ! 
Aarti ,आरती,"Worship, divine fire in ritual"
Aarubi ,आरुबी,no meaning yet
Aarushi ,आरुषी,Calm; Bright; The sun
Aasha ,आशा,Hope; DesireAlso: Asha
Aashika ,आशिक,"Lovable or Lover; One without sorrow, Mercury, Sweet heart, Beloved; Blessings; "
Aashriya ,आश्रिया ,From the land of god; Most beautiful
Aayara ,आयारा,Fortunate; Goodness of Love
Aayusha ,आयुषा ,One with long life.
Aayushma ,आयुष्मा,Long life
Abhilasha ,अभिलाषा,Desire
Abhinithi ,अभिनिथी,That which is already been performed; Friendship
Abhishikha ,अभिशिखा ,no meaning yet
Aditi ,अदिति,Mother of gods
Akanksha ,आकांक्षा,"In Sanskrit, it means ""Desire, wish or want. Originated form Nepal."
Akriti ,आकृति,Diagram; Shape
Akshada ,अक्शादा,no meaning yet
Alija ,अलिजा,no meaning yet
Alina ,अलिना ,"Originated from Grek it means ""light"". However, other source attributed to Arabic, Hindi and Nepali means ""Noble"". "
Alisha ,अलिशा,Protected by God
Aliza ,अलिज़ा,Joy or Joyful
Alka ,अल्का,Lock of curly hair
Alpana ,अल्पना ,A decorative design
Ambika ,अम्बिका,Please advise us the meaning of this name!
Amina ,अमिना,Honest; Trustworthy
Amisha ,अमिषा,"Beautiful, Without Decipt, Pure(सुन्दर"
Amisha ,Short name Ami or Misha, Pure
Amita ,अमिता,Limitless(कुनी सिमा नै नभएको
Amrita ,अमृता,Immortality(सधै अमर रहने
Anchal ,अंचल,The decorative end of a sari
Anchita ,अन्चिता,"Honoured, Worshipped(पूजा"
Anisha ,"अनिशा, अनिषा",Continuous(निरन्तर
Anjala ,अन्जला,no meaning yet
Anjali ,अन्जली,Offering
Anjana ,अन्जना,no meaning yet
Anjila ,अन्जिला,no meaning yet
Anjita ,अन्जिता,Advise us the meaning of this name.(कृपयायो नामको अर्थ हलिदिनुहोला ! 
Anju ,"अन्जु, अंजु",One who lives in heart(तपाइको मुटुमा बस्ने
Anjuli ,अन्जुली,Offering with both hands clasped
"Anjushri, Anjushree ",अन्जुश्री,Dear to one's heart(तपाइको मुटुको प्यारो टुक्रा
Ankita ,अंकिता,"Conquered, a signet, symbol"
Anu ,अनु,no meaning yet
Anupa ,अनुपा,Please advise us the meaning of this name!
Anupama ,अनुपमा,Unique; Unparalleled
Anusha ,कुरूप,"Beautiful morning, a star(सुन्दर बिहानी"
Anushka ,अनुष्का,Acceptance
Anushri ,अनुश्री,"Pretty(राम्री, चिटिक्क परेकी"
Anuska ,अनुष्का,Grace
Anusri ,अनुस्री,"Glorious, famous"
Anusuya ,अनुसुया,"Non jealous; Friend of Shakuntala or Wife of the sage ""Atri"". "
Aparna ,अपर्ण,Goddess Parvati(भगवान शिवको श्रीमती
Apikshya ,अपिक्ष्या,Wish
Apsara ,अप्सरा,Celestial maiden(आकाशीय प्रथम
Apshara ,आप्शरा,"A Fairy; Angel;
Female spirit of the clouds and waters in Hindu and Buddhist culture;
A mythological spirit of nature imagined as a beautiful maiden inhabiting rivers, woods, or other locations.Also: Apsara"
Aradhya ,आराध्य,Faith(श्रद्धा
Arati ,आरति,Hymns sang in praise of god( परमेश्वरको प्रशंसामा गाएको भजनहरू
Archana ,अर्चना,Worship
Archita , अर्चिता,One who is worshipped(जसको पुजा गरिन्छ
Arika ,अरिका ,Waterlily; Beautiful
Arishna ,अरिश्ना,no meaning yet
Arpana ,अर्पणा,"Dedicated; Gifted, donated; Offering(समर्पण"
Arpita ,अर्पित,Dedicate(समर्पण
